id,name,state_id:id
lga_ab_aba_north,"Aba North",l10n_ng_address.state_abia
lga_ab_aba_south,"Aba South",l10n_ng_address.state_abia
lga_ab_arochukwu,Arochukwu,l10n_ng_address.state_abia
lga_ab_bende,Bende,l10n_ng_address.state_abia
lga_ab_ikwuano,Ikwuano,l10n_ng_address.state_abia
lga_ab_isiala_ngwa_north,"Isiala Ngwa North",l10n_ng_address.state_abia
lga_ab_isiala_ngwa_south,"Isiala Ngwa South",l10n_ng_address.state_abia
lga_ab_isuikwuato,Isuikwuato,l10n_ng_address.state_abia
lga_ab_obi_ngwa,"Obi Ngwa",l10n_ng_address.state_abia
lga_ab_ohafia,Ohafia,l10n_ng_address.state_abia
lga_ab_osisioma_ngwa,"Osisioma Ngwa",l10n_ng_address.state_abia
lga_ab_ugwunagbo,Ugwunagbo,l10n_ng_address.state_abia
lga_ab_ukwa_east,"Ukwa East",l10n_ng_address.state_abia
lga_ab_ukwa_west,"Ukwa West",l10n_ng_address.state_abia
lga_ab_umuahia_north,"Umuahia North",l10n_ng_address.state_abia
lga_ab_umuahia_south,"Umuahia South",l10n_ng_address.state_abia
lga_ab_umu_nneochi,"Umu Nneochi",l10n_ng_address.state_abia
lga_ad_demsa,Demsa,l10n_ng_address.state_adamawa
lga_ad_fufore,Fufore,l10n_ng_address.state_adamawa
lga_ad_ganye,Ganye,l10n_ng_address.state_adamawa
lga_ad_girei,Girei,l10n_ng_address.state_adamawa
lga_ad_gombi,Gombi,l10n_ng_address.state_adamawa
lga_ad_guyuk,Guyuk,l10n_ng_address.state_adamawa
lga_ad_hong,Hong,l10n_ng_address.state_adamawa
lga_ad_jada,Jada,l10n_ng_address.state_adamawa
lga_ad_lamurde,Lamurde,l10n_ng_address.state_adamawa
lga_ad_madagali,Madagali,l10n_ng_address.state_adamawa
lga_ad_maiha,Maiha,l10n_ng_address.state_adamawa
lga_ad_mayo_belwa,"Mayo-Belwa",l10n_ng_address.state_adamawa
lga_ad_michika,Michika,l10n_ng_address.state_adamawa
lga_ad_mubi_north,"Mubi North",l10n_ng_address.state_adamawa
lga_ad_mubi_south,"Mubi South",l10n_ng_address.state_adamawa
lga_ad_numan,Numan,l10n_ng_address.state_adamawa
lga_ad_shelleng,Shelleng,l10n_ng_address.state_adamawa
lga_ad_song,Song,l10n_ng_address.state_adamawa
lga_ad_toungo,Toungo,l10n_ng_address.state_adamawa
lga_ad_yola_north,"Yola North",l10n_ng_address.state_adamawa
lga_ad_yola_south,"Yola South",l10n_ng_address.state_adamawa
lga_ak_abak,Abak,l10n_ng_address.state_akwa_ibom
lga_ak_eastern_obolo,"Eastern Obolo",l10n_ng_address.state_akwa_ibom
lga_ak_eket,Eket,l10n_ng_address.state_akwa_ibom
lga_ak_esit_eket,"Esit-Eket",l10n_ng_address.state_akwa_ibom
lga_ak_essien_udim,"Essien Udim",l10n_ng_address.state_akwa_ibom
lga_ak_etim_ekpo,"Etim-Ekpo",l10n_ng_address.state_akwa_ibom
lga_ak_etinan,Etinan,l10n_ng_address.state_akwa_ibom
lga_ak_ibeno,Ibeno,l10n_ng_address.state_akwa_ibom
lga_ak_ibesikpo_asutan,"Ibesikpo-Asutan",l10n_ng_address.state_akwa_ibom
lga_ak_ibiono_ibom,"Ibiono-Ibom",l10n_ng_address.state_akwa_ibom
lga_ak_ika,Ika,l10n_ng_address.state_akwa_ibom
lga_ak_ikono,Ikono,l10n_ng_address.state_akwa_ibom
lga_ak_ikot_abasi,"Ikot Abasi",l10n_ng_address.state_akwa_ibom
lga_ak_ikot_ekpene,"Ikot Ekpene",l10n_ng_address.state_akwa_ibom
lga_ak_ini,Ini,l10n_ng_address.state_akwa_ibom
lga_ak_itu,Itu,l10n_ng_address.state_akwa_ibom
lga_ak_mbo,Mbo,l10n_ng_address.state_akwa_ibom
lga_ak_mkpat_enin,"Mkpat-Enin",l10n_ng_address.state_akwa_ibom
lga_ak_nsit_atai,"Nsit-Atai",l10n_ng_address.state_akwa_ibom
lga_ak_nsit_ibom,"Nsit-Ibom",l10n_ng_address.state_akwa_ibom
lga_ak_nsit_ubium,"Nsit-Ubium",l10n_ng_address.state_akwa_ibom
lga_ak_obot_akara,"Obot-Akara",l10n_ng_address.state_akwa_ibom
lga_ak_okobo,Okobo,l10n_ng_address.state_akwa_ibom
lga_ak_onna,Onna,l10n_ng_address.state_akwa_ibom
